event name,time
colorRound5-3,2015-05-09 23:37:44.889+00
colorRound5-4,2015-05-09 23:37:47.889+00
colorRound5-5,2015-05-09 23:37:50.889+00
colorRound5-6,2015-05-09 23:37:53.889+00
unlabeled,2015-05-09 23:37:56.889+00
blinkInstruction,2015-05-09 23:43:34.405+00
blink1,2015-05-09 23:43:38.805+00
blink2,2015-05-09 23:43:40.311+00
blink3,2015-05-09 23:43:41.807+00
blink4,2015-05-09 23:43:43.309+00
blink5,2015-05-09 23:43:44.907+00
relaxInstruction,2015-05-09 23:43:46.308+00
relax,2015-05-09 23:43:51.308+00
mathInstruction,2015-05-09 23:44:21.309+00
math1,2015-05-09 23:44:26.341+00
math2,2015-05-09 23:44:28.839+00
math3,2015-05-09 23:44:31.341+00
math4,2015-05-09 23:44:33.84+00
math5,2015-05-09 23:44:36.343+00
math6,2015-05-09 23:44:38.839+00
math7,2015-05-09 23:44:41.338+00
math8,2015-05-09 23:44:43.84+00
math9,2015-05-09 23:44:46.34+00
math10,2015-05-09 23:44:48.841+00
math11,2015-05-09 23:44:51.338+00
math12,2015-05-09 23:44:53.841+00
musicInstruction,2015-05-09 23:44:56.343+00
music,2015-05-09 23:45:01.339+00
videoInstruction,2015-05-09 23:45:31.342+00
video-ver2,2015-05-09 23:45:36.343+00
thinkOfItemsInstruction-ver2,2015-05-09 23:46:06.35+00
thinkOfItems-ver2,2015-05-09 23:46:26.342+00
colorInstruction1,2015-05-09 23:46:56.345+00
colorInstruction2,2015-05-09 23:47:06.344+00
readyRound1,2015-05-09 23:47:21.346+00
colorRound1-1,2015-05-09 23:47:24.349+00
colorRound1-2,2015-05-09 23:47:28.349+00
colorRound1-3,2015-05-09 23:47:32.347+00
colorRound1-4,2015-05-09 23:47:36.347+00
colorRound1-5,2015-05-09 23:47:40.349+00
colorRound1-6,2015-05-09 23:47:44.35+00
readyRound2,2015-05-09 23:47:48.35+00
colorRound2-1,2015-05-09 23:47:51.35+00
colorRound2-2,2015-05-09 23:47:54.35+00
colorRound2-3,2015-05-09 23:47:57.35+00
colorRound2-4,2015-05-09 23:48:00.35+00
colorRound2-5,2015-05-09 23:48:03.35+00
colorRound2-6,2015-05-09 23:48:06.35+00
readyRound3,2015-05-09 23:48:09.35+00
colorRound3-1,2015-05-09 23:48:12.35+00
colorRound3-2,2015-05-09 23:48:14.35+00
colorRound3-3,2015-05-09 23:48:16.35+00
colorRound3-4,2015-05-09 23:48:18.35+00
colorRound3-5,2015-05-09 23:48:20.35+00
colorRound3-6,2015-05-09 23:48:22.35+00
readyRound4,2015-05-09 23:48:23.35+00
colorRound4-1,2015-05-09 23:48:26.35+00
colorRound4-2,2015-05-09 23:48:27.35+00
colorRound4-3,2015-05-09 23:48:28.35+00
colorRound4-4,2015-05-09 23:48:29.35+00
colorRound4-5,2015-05-09 23:48:30.35+00
colorRound4-6,2015-05-09 23:48:31.35+00
readyRound5,2015-05-09 23:48:32.35+00
colorRound5-1,2015-05-09 23:48:35.35+00
colorRound5-2,2015-05-09 23:48:38.35+00
colorRound5-3,2015-05-09 23:48:41.35+00
colorRound5-4,2015-05-09 23:48:44.35+00
colorRound5-5,2015-05-09 23:48:47.35+00
colorRound5-6,2015-05-09 23:48:50.35+00
unlabeled,2015-05-09 23:48:50.35+00
